1.3248,1.1952,1.316,1.3016,1.188,1.0872,1.0296,1.2832,1.4272,1.2312,1.064,0.8008,1.358,1.5752,1.1448,1.1104,1.3564,1.2556,1.3292,1.296,1.4068,1.2168,1.168,0.9864,0.9404,1.0296,1.0064,0.9864,0.7472,0.756,0.8568,1.0064,1.3984,1.5048,1.316,1.3868,0.9692,1.1448,1.1808,1.064,1.024,1.0484,1.1216,1.0368,1.1492,0.972,0.9388,1.008,0.7748,0.8512,0.7144,0.782,0.6956,0.8136,0.8424,0.926,0.7688,0.638,1.1072,0.9232,1.168,1.3448,1.2256,1.1464,1.332,1.2916,1.0872,1.4876
1.3148,1.1736,1.332,1.2772,1.0816,1.0412,1.008,1.3364,1.3968,1.126,1.0916,0.8308,1.3348,1.5552,1.1188,1.0556,1.3636,1.2196,1.2944,1.2944,1.378,1.2068,1.2112,0.988,0.9,0.9992,0.972,0.9664,0.7532,0.7748,0.8696,1.0684,1.3996,1.5104,1.2772,1.4084,0.8784,1.1044,1.1836,1.0928,1.0456,0.9692,1.0036,1.0844,1.1908,0.956,0.9244,0.9432,0.7172,0.8092,0.71,0.7732,0.6508,0.8092,0.8828,0.9128,0.7804,0.6264,1.1116,0.9,1.1304,1.4832,1.3248,1.1764,1.2744,1.208,1.116,1.404
1.1996,1.1032,1.24,1.1996,0.992,1.0568,1.0052,1.2616,1.3536,1.0872,1.0368,0.8368,1.296,1.466,1.0196,0.998,1.3624,1.2068,1.43,1.424,1.4212,1.162,1.2296,0.9344,0.9344,1.0384,0.9864,1.0108,0.7516,0.7776,0.8552,1.0728,1.4688,1.5352,1.2888,1.4416,0.8872,1.07,1.2052,1.0928,1.096,0.9316,0.8872,0.992,1.0844,0.9548,1.0656,1.0152,0.848,0.972,0.8584,0.956,0.874,0.9344,1.0484,1.0312,0.9316,0.7992,1.1404,1.0628,1.2256,1.4948,1.3724,1.1248,1.2572,1.198,1.168,1.368
1.0944,1.132,1.1592,1.2052,0.9936,1.0096,0.9848,1.2572,1.3536,1.0496,0.9676,0.8036,1.2312,1.4704,1.008,0.936,1.3016,1.1808,1.4312,1.3724,1.4644,1.1752,1.2168,0.8856,0.9864,1.024,0.9764,1.0268,0.7632,0.7532,0.8164,1.1288,1.4848,1.4932,1.2716,1.3824,0.7832,1.0412,1.2944,1.0396,1.0772,1.0772,0.9188,0.9504,0.9676,0.9748,1.08,0.9952,0.8856,0.9576,0.828,0.9344,0.874,0.9808,0.9028,1.0224,0.8972,0.802,1.1288,1.08,1.1376,1.3608,1.2644,1.1952,1.368,1.2296,1.0888,1.3652
1.1492,1.1708,1.2052,1.2096,0.9764,0.998,0.9692,1.2628,1.342,1.0268,0.9304,0.808,1.2112,1.4472,1.1,0.9088,1.322,1.152,1.3104,1.26,1.3608,1.1836,1.1564,0.8756,0.9388,0.9792,0.9592,0.9992,0.7288,0.7948,0.7804,1.0744,1.5536,1.5192,1.25,1.3564,0.7848,1.0412,1.0324,1.034,0.9748,1.0712,0.9416,0.9388,1.028,0.992,1.0168,0.9316,0.8152,1.0424,0.8984,0.864,0.7544,0.9448,0.8368,1.008,0.8928,0.7472,1.116,1.0064,1.208,1.4084,1.3148,1.276,1.5248,1.2572,1.1032,1.3624
1.1908,1.1492,1.25,1.3276,1.1132,0.9664,0.9504,1.2256,1.348,1.0468,0.9216,0.7964,1.2184,1.4344,1.1088,0.9488,1.2932,1.1548,1.2616,1.2472,1.352,1.1636,1.1348,0.8856,0.8872,0.9908,0.9404,0.9416,0.7128,0.7848,0.7804,1.0024,1.5536,1.6244,1.2688,1.3292,0.7864,1.024,0.9476,0.9952,0.9388,1.018,0.9272,0.9316,0.9532,0.936,0.9808,0.9216,0.776,1.0728,0.9836,1.1188,0.9316,0.9244,0.8468,1.0252,0.8568,0.7488,1.0844,0.9764,1.178,1.548,1.3868,1.2412,1.4372,1.3996,1.2656,1.5032
1.2096,1.1608,1.2068,1.3304,1.116,0.9576,0.9476,1.2268,1.3276,1.0224,0.9432,0.7344,1.1924,1.3896,0.9592,0.9272,1.2584,1.1548,1.2544,1.2472,1.3248,1.2052,1.1392,0.9,0.8696,1.008,0.9376,0.9704,0.7388,0.7172,0.7444,0.9504,1.5336,1.6704,1.2872,1.3696,0.8612,1.0684,0.9144,0.9836,0.9288,0.9232,0.8928,0.9016,0.9676,0.9548,1.0252,0.9332,0.8568,1.0268,0.8784,1.044,0.9144,1.024,0.8524,0.9952,0.8396,0.7676,1.0468,0.9836,1.27,1.4516,1.2916,1.1548,1.352,1.3624,1.162,1.3968
1.2944,1.25,1.2872,1.3104,1.0772,1.0844,0.9836,1.2716,1.3708,1.0384,0.956,0.8048,1.25,1.4068,0.8984,0.92,1.2744,1.1576,1.2644,1.276,1.348,1.1248,1.1576,1.0268,0.8756,0.988,0.8768,0.9344,0.9016,0.736,0.7444,0.9808,1.584,1.6892,1.342,1.424,0.8668,1.1304,0.9128,0.9836,0.9144,0.936,0.8784,0.88,1.0196,0.9432,1.0096,0.946,0.8756,0.9952,0.8264,0.9416,0.8712,1.0972,0.8092,0.9748,0.8252,0.756,1.0312,0.9704,1.1708,1.4372,1.3436,1.1808,1.3608,1.3048,1.2888,1.4168
1.2628,1.2184,1.3104,1.3232,1.0612,0.988,0.9416,1.2008,1.2944,1.0512,0.9344,0.7388,1.2368,1.414,0.9388,0.9736,1.2544,1.1836,1.27,1.28,1.3192,1.1144,1.1288,0.8856,0.9288,0.9748,0.9592,0.9172,0.7976,0.7388,0.7416,0.956,1.4932,1.5176,1.2932,1.3652,0.9128,1.0412,0.9244,0.9632,0.9232,0.956,0.9056,0.8972,1.1032,0.9216,0.9776,0.91,0.772,0.936,0.8252,0.9144,0.828,0.9648,0.828,0.9488,0.8208,0.7272,1.0152,0.9908,1.1304,1.4056,1.3348,1.1288,1.394,1.234,1.234,1.3408
1.2368,1.2284,1.2024,1.2168,0.9692,1.0612,0.9272,1.1996,1.234,1.0512,0.8728,0.7544,1.2644,1.3984,0.8812,0.9232,1.244,1.1548,1.4112,1.3336,1.3752,1.0988,1.096,0.8368,0.8728,0.9632,0.9776,0.9376,0.8224,0.7244,0.6968,0.9332,1.44,1.4372,1.2484,1.3392,0.8624,1.1204,0.9992,1.0324,0.9416,0.8972,0.9808,0.9576,1.0468,1.064,1.1564,0.782,0.756,0.916,0.7892,0.89,0.7432,0.9332,0.8036,0.9908,0.8956,0.694,1.008,1.0324,1.1476,1.4456,1.3492,1.1852,1.394,1.2916,1.2312,1.3348
