ID,BATT_CAP[MWH],CURR_SOC[%],MIN_SOC[%],MAX_SOC[%],PCS_MAX_CH[KW],PCS_MAX_DCH[KW],PCS_CH_EFF[%],PCS_DCH_EFF[%],FLAG
1,1.5,50,10,90,0.75,-0.75,100,100,1
2,2,50,10,90,1,-1,100,100,1
