BuildingIndex,Year,Month,Day,Hour,Quarter,ESS#1 Scheule[MW],ESS#2 Scheule[MW],ESS#1 SOC[%],ESS#2 SOC[%],
1,2017,4,1,19,2,0.028445,0.429008,26.895763,39.793945,
1,2017,4,1,19,3,0.028445,0.429008,27.369854,45.156541,
1,2017,4,1,20,0,0.028445,0.429008,27.843945,50.519138,
1,2017,4,1,20,1,0.231778,0.127683,31.706913,52.115176,
1,2017,4,1,20,2,0.231778,0.127683,35.569882,53.711214,
1,2017,4,1,20,3,0.231778,0.127683,39.432850,55.307251,
1,2017,4,1,21,0,0.231778,0.127683,43.295818,56.903289,
1,2017,4,1,21,1,0.128364,0.206800,45.435215,59.488287,
1,2017,4,1,21,2,0.128364,0.206800,47.574611,62.073284,
1,2017,4,1,21,3,0.128364,0.206800,49.714007,64.658281,
1,2017,4,1,22,0,0.128364,0.206800,51.853403,67.243278,
1,2017,4,1,22,1,0.241796,-0.018141,55.883338,67.016513,
1,2017,4,1,22,2,0.241796,-0.018141,59.913274,66.789749,
1,2017,4,1,22,3,0.241796,-0.018141,63.943209,66.562985,
1,2017,4,1,23,0,0.241796,-0.018141,67.973144,66.336220,
1,2017,4,1,23,1,-0.239599,-0.303321,63.979829,62.544710,
1,2017,4,1,23,2,-0.239599,-0.303321,59.986514,58.753200,
1,2017,4,1,23,3,-0.239599,-0.303321,55.993199,54.961689,
1,2017,4,1,24,0,-0.239599,-0.303321,51.999884,51.170179,
