-28.77405667,-25.00204088,-22.9842836,-21.19635945,-19.95378098,-18.71345488,-17.99955119,-16.8552499,-16.01492068,-15.47063124,-14.87679198,-14.22391455,-13.61702731,-13.05137214,-12.50677605,-12.14839011,-11.75397039,-11.41570451,-11.11988322,-10.75638427,-10.34113681,-10.12675923,-9.722880526,-9.349684208,-9.051401593,-8.672332535,-8.314479842,-7.93015807,-7.71540416,-7.519806421,-7.181721608,-6.786336946,-6.592997179,-6.244120906,-5.92607675,-5.639435083,-5.4137781,-5.127446042,-4.799177645,-4.573969763,-4.345094332,-4.140214025,-3.989054769,-3.780888521,-3.591942085,-3.450503815,-3.193860211,-3.009570282,-2.744534255,-2.381466902,-2.204330156,-1.96061034,-1.582229325,-1.236875532,-1.005364274,-0.572720746,-0.146395824,0.064653428,0.419271337,0.654854156,0.961171688,1.360799895,1.672495836,2.084809456,2.535424763,2.984291209,3.427585698,3.857209925,4.226575575,4.580471824,5.066171407,5.365547257,5.893061729,6.368425514,6.803931623,7.411572271,7.92642142,8.495410033,8.941259997,9.687272653,10.72031883,11.46029946,12.23866726,13.15356519,13.85493908,14.75122443,15.71822433,16.67917158,17.66484225,18.89341597,20.21836886,22.07876624,23.65804255,25.40991256,27.66125629,30.43962007,33.89888777,38.21206766,46.69625836
-31.51849979,-27.21822504,-24.87533926,-22.88555099,-21.49023605,-20.10429033,-19.27550688,-18.06315274,-17.16801459,-16.55672443,-15.90470533,-15.20619573,-14.55864189,-13.94737312,-13.36351414,-12.95464568,-12.52228182,-12.14537022,-11.81316348,-11.41819703,-10.97216356,-10.72487071,-10.29675518,-9.898548595,-9.575635277,-9.173794909,-8.792843538,-8.398341212,-8.153031997,-7.929757596,-7.571761142,-7.156821948,-6.937538961,-6.569269256,-6.231740065,-5.926508771,-5.67938125,-5.370114559,-5.026081592,-4.778115585,-4.527936712,-4.303612067,-4.127753745,-3.902602837,-3.688928644,-3.521654875,-3.248324548,-3.044009115,-2.763729365,-2.389251451,-2.192513196,-1.930514388,-1.541533744,-1.181185371,-0.927615233,-0.48337158,-0.041931875,0.198168532,0.568314409,0.827553965,1.153154341,1.570338916,1.904195203,2.340833207,2.808603111,3.275518059,3.738121116,4.191268154,4.589343844,4.97761025,5.483220601,5.815494259,6.362540985,6.865263931,7.329741588,7.959897312,8.506104543,9.115364018,9.598668286,10.36996438,11.42000848,12.19780701,13.02481877,13.98460931,14.73121886,15.66251495,16.67270181,17.67646577,18.71874273,19.99224333,21.37302961,23.28559235,24.94637963,26.79445586,29.14117828,32.0041991,35.58747429,40.06996279,48.86613077
-34.20764507,-29.38980097,-26.72866365,-24.54125941,-22.99631712,-21.46792591,-20.52654204,-19.24748775,-18.29854845,-17.62154357,-16.9124217,-16.16917479,-15.48179479,-14.82584428,-14.20356839,-13.74527161,-13.27574352,-12.86093581,-12.49308806,-12.06728603,-11.59110511,-11.31151,-10.85964409,-10.4369327,-10.08989471,-9.665766805,-9.262189357,-8.85765161,-8.582412406,-8.331999656,-7.954512479,-7.520430652,-7.275717269,-6.888460023,-6.531829689,-6.20836579,-5.940170683,-5.608447187,-5.248965703,-4.978698223,-4.707620465,-4.464214042,-4.264120457,-4.022289675,-3.784391581,-3.59176698,-3.302047778,-3.078055194,-2.782811897,-2.397120658,-2.181103898,-1.901162311,-1.501717805,-1.126650529,-0.851449407,-0.395795854,0.060442079,0.329063833,0.714481985,0.99697225,1.34152861,1.775959037,2.131531193,2.592015149,3.07663735,3.561294761,4.042878056,4.519115276,4.945393494,5.367332012,5.892511842,6.257049891,6.823283042,7.352892953,7.84582594,8.498110528,9.075117817,9.72387452,10.24398715,11.04013055,12.10686814,12.92171402,13.79635205,14.80007704,15.59109215,16.55678127,17.60924415,18.65500295,19.75286519,21.07049123,22.50608403,24.46972127,26.21047939,28.15275361,30.59282119,33.53905601,37.24393243,41.89218275,50.99256045
-36.84149252,-31.51676868,-28.54425676,-26.16348473,-24.47202417,-22.80436162,-21.75265665,-20.40825493,-19.40652228,-18.66508865,-17.89994111,-17.11285173,-16.38648603,-15.6867856,-15.0269388,-14.52026789,-14.01435547,-13.56240128,-13.15965698,-12.70365129,-12.19796147,-11.88667707,-11.41154726,-10.96483653,-10.5941799,-10.14824822,-9.7225173,-9.308089264,-9.003545385,-8.726532599,-8.329975618,-7.877163057,-7.607532104,-7.201693208,-6.826345621,-6.48500614,-6.196146399,-5.842443925,-5.467829978,-5.175717676,-4.88414559,-4.62201995,-4.398154905,-4.139949035,-3.878330896,-3.66084013,-3.3550299,-3.111708519,-2.801781851,-2.405074525,-2.170102263,-1.872554109,-1.462781508,-1.073271008,-0.776866795,-0.309993568,0.16072604,0.45733933,0.857774065,1.163109011,1.526294493,1.977660258,2.354503804,2.838355283,3.339527479,3.841621315,4.34185652,4.840751291,5.294724523,5.749637109,6.294045132,6.690214153,7.2752879,7.831312581,8.35218468,9.026211921,9.633461242,10.32094154,10.87721661,11.69777114,12.78089779,13.63202049,14.55326707,15.59996836,16.43455893,17.43402339,18.52785135,19.61478312,20.76720963,22.1281597,23.61753212,25.631153,27.45034183,29.4848058,32.01618502,35.0441908,38.86826218,43.67872756,53.0755474
-39.42004214,-33.59912817,-30.3221186,-27.75222693,-25.9173572,-24.11359747,-22.95385072,-21.54545427,-20.49193605,-19.68735968,-18.86726354,-18.03722654,-17.2727156,-16.53019709,-15.83362537,-15.27963455,-14.73811769,-14.24976663,-13.81287024,-13.32729281,-12.79273262,-12.45037194,-11.95246469,-11.48226008,-11.08849084,-10.62123917,-10.17382737,-9.749654173,-9.416430936,-9.113356427,-8.69815056,-8.227019164,-7.932983466,-7.508968811,-7.115287862,-6.75642982,-6.447308398,-6.072104775,-5.682674416,-5.369173946,-5.057512087,-4.777029789,-4.529857088,-4.255580917,-3.97074659,-3.728874324,-3.407270916,-3.144969091,-2.820639228,-2.41311305,-2.15950829,-1.844689781,-1.424724854,-1.021046807,-0.703867397,-0.225964722,0.258920005,0.582995023,0.998190649,1.325964248,1.707451991,2.17544258,2.573113036,3.079853609,3.5972735,4.116497723,4.635056507,5.1561762,5.637336932,6.124525541,6.687820469,7.114987045,7.718555558,8.300522814,8.848817807,9.544201489,10.18113482,10.90656508,11.49835664,12.34288617,13.44209743,14.32872641,15.29556386,16.38428329,17.26161922,18.29424131,19.42852341,20.55580628,21.76177604,23.16524871,24.70737389,26.76988753,28.66596695,30.79061243,33.41126976,36.51960347,40.46046354,45.4295972,55.11509164
-41.94329392,-35.63687943,-32.06224916,-29.30748603,-27.33231623,-25.39563344,-24.13012425,-22.65908577,-21.55478978,-20.68835665,-19.81438899,-18.94229923,-18.14048351,-17.35607875,-16.6236281,-16.02337156,-15.44703017,-14.92303185,-14.45272782,-13.93821057,-13.37541856,-13.0025946,-12.48239639,-11.98920334,-11.57282752,-11.08473963,-10.61611956,-10.18234634,-9.821069058,-9.492471138,-9.059037305,-8.569998973,-8.252071355,-7.810286831,-7.398656412,-7.022636832,-6.693656679,-6.297429735,-5.893499018,-5.559067031,-5.227719955,-4.929243562,-4.659227006,-4.369185322,-4.061638663,-3.795869564,-3.458770825,-3.177836908,-2.839384027,-2.421236234,-2.149321981,-1.817569328,-1.387547843,-0.969977927,-0.632451213,-0.143709316,0.355023976,0.706030913,1.135731738,1.48553796,1.885001105,2.369306002,2.78735889,3.316510126,3.849875411,4.385923982,4.922478016,5.465390002,5.973230721,6.491997309,7.073837854,7.531368566,8.153086017,8.760523652,9.335725322,10.05207923,10.71813854,11.48074514,12.10740725,12.97547562,14.09046707,15.01183178,16.02324239,17.15302182,18.07227301,19.13743503,20.31126033,21.47807243,22.73656444,24.18175827,25.77560932,27.88592487,29.85735475,32.0701735,34.77807541,37.96529403,42.02053651,47.14479168,57.11119314
-44.41124786,-37.63002248,-33.76464844,-30.82926201,-28.71690124,-26.65046954,-25.28147724,-23.74914943,-22.59508347,-21.66807958,-20.74131748,-19.8280698,-18.98978975,-18.16443058,-17.39694699,-16.75147894,-16.14109291,-15.58219696,-15.07922974,-14.5364046,-13.94601931,-13.54334506,-13.00134235,-12.48566633,-12.04718997,-11.53874962,-11.04939387,-10.60616576,-10.21745975,-9.863876734,-9.412635853,-8.906102483,-8.564795771,-8.105647269,-7.676451271,-7.283627174,-6.935191243,-6.518418806,-6.100303783,-5.745396932,-5.394769196,-5.078661267,-4.78626466,-4.480762249,-4.151007113,-3.861825847,-3.509529626,-3.210311971,-2.858016249,-2.429444077,-2.139543334,-1.79119275,-1.351250474,-0.920064367,-0.562618243,-0.06322735,0.449037953,0.826446999,1.27039733,1.641830149,2.058941834,2.559250524,2.997241366,3.548324835,4.097333214,4.649900094,5.204121049,5.768392697,6.30240589,6.852052412,7.452097288,7.939358718,8.578879277,9.211315095,9.812907224,10.54984515,11.24447242,12.04348171,12.70436844,13.59553951,14.72600671,15.68133662,16.73630268,17.90618395,18.8665203,19.96360454,21.1760621,22.38158157,23.69157481,25.17768839,26.82223843,28.97926501,31.02450523,33.32348901,36.11660198,39.38126246,43.54848109,48.82431099,59.06385193
-46.82390397,-39.57855729,-35.42931645,-32.31755488,-30.07111225,-27.87810577,-26.40790968,-24.81564526,-23.61281711,-22.62652845,-21.64804899,-20.69453824,-19.82063432,-18.95525258,-18.15358204,-17.46395668,-16.82030592,-16.22726195,-15.692376,-15.12187488,-14.50453486,-14.0726233,-13.50930257,-12.97164904,-12.51157816,-11.98326913,-11.47365031,-11.02111243,-10.60560301,-10.22757321,-9.758946203,-9.235329695,-8.871156714,-8.395050125,-7.948672439,-7.539400847,-7.17191209,-6.735071988,-6.303088712,-5.928163649,-5.558659809,-5.225282905,-4.91097005,-4.590311699,-4.238851943,-3.926743176,-3.55954732,-3.24239428,-2.876535894,-2.437736579,-2.13017235,-1.765560046,-1.315832748,-0.871306127,-0.494368488,0.015481177,0.540961936,0.944243281,1.402187427,1.794840813,2.229274178,2.745276146,3.202760463,3.775297736,4.339646907,4.908426059,5.479985604,6.065184286,6.624862438,7.204690851,7.822598769,8.338957498,8.995935338,9.652897143,10.28036351,11.03749925,11.76013645,12.59477481,13.28924021,14.20307783,15.34871634,16.3372409,17.43474473,18.64376969,19.6443611,20.77274986,22.02292874,23.2663337,24.62680715,26.15303906,27.84726121,30.04990796,32.16741839,34.55055897,37.42684947,40.76750878,45.04429728,50.46815514,60.97306798
-49.18126224,-41.48248389,-37.05625319,-33.77236465,-31.39494924,-29.07854213,-27.50942159,-25.85857326,-24.60799071,-23.56370327,-22.53458353,-21.54170456,-20.63301723,-19.72854475,-18.89353325,-18.16080478,-17.48466918,-16.85822682,-16.29216659,-15.69462141,-15.0509652,-14.59042935,-14.00627705,-13.44715146,-12.9659921,-12.41829816,-11.88888887,-11.42718637,-10.98549885,-10.58356058,-10.09796836,-9.557680608,-9.171154183,-8.678495398,-8.215319916,-7.78995785,-7.40381922,-6.947389281,-6.501853805,-6.107367182,-5.719391794,-5.369108475,-5.033343176,-4.69783367,-4.32517315,-3.990621549,-3.608823908,-3.274083835,-2.89494296,-2.446113739,-2.121209028,-1.740671218,-1.281294664,-0.823703207,-0.427701947,0.092416263,0.630795924,1.05941976,1.531102027,1.944569954,2.395998137,2.927382868,3.403916182,3.997428829,4.576816491,5.161501876,5.750071683,6.355764768,6.940600367,7.549912625,8.185342298,8.730164909,9.404254199,10.0852698,10.73809419,11.51504152,12.26513063,13.13462442,13.86202256,14.79809058,15.95859597,16.97954465,18.11856853,19.36577902,20.4057954,21.56487097,22.85186023,24.13232881,25.54226148,27.10781029,28.85067766,31.09785372,33.28609423,35.75138336,38.70881788,42.12403298,46.50798509,52.07632413,62.83884132
-51.48332268,-43.34180226,-38.64545865,-35.1936913,-32.68841222,-30.25177862,-28.58601295,-26.87793341,-25.58060426,-24.47960404,-23.40092109,-22.36956875,-21.42693847,-20.48430709,-19.61680062,-18.84202325,-18.13418271,-17.47509156,-16.87860151,-16.2546442,-15.58531035,-15.09676318,-14.49226579,-13.91217361,-13.4104318,-12.84383672,-12.29510955,-11.82438755,-11.35714726,-10.93183882,-10.42970231,-9.873155224,-9.46478818,-8.955983089,-8.476393701,-8.035298185,-7.630912632,-7.155370685,-6.696599061,-6.283007531,-5.876965151,-5.510137978,-5.153384037,-4.803328165,-4.409970736,-4.053460967,-3.657359388,-3.305380636,-2.91323745,-2.454575559,-2.11265337,-1.716526264,-1.247636223,-0.777255608,-0.36261862,0.167577909,0.718539918,1.171976435,1.657141132,2.09101757,2.559113711,3.105570691,3.600708523,4.214718113,4.808841967,5.409127545,6.014379284,6.640134143,7.249619676,7.887717734,8.540327874,9.112980949,9.803835862,10.50843306,11.18609926,11.98247197,12.75945496,13.66303055,14.4227155,15.38057776,16.55564559,17.60824785,18.78777409,20.07221196,21.15082319,22.33996788,23.66285659,24.97956692,26.43793778,28.04200206,29.83248779,32.12310228,34.38053275,36.9259622,39.96250719,43.45083506,47.9395445,53.64881796,64.66117193
