0.8352,0.7144,0.8668,0.9044,0.766,0.936,0.988,0.988,0.9764,0.9676,1.0008,0.586,0.5284,0.7144,1.0224,0.9836,0.9388,1.0296,0.9648,0.7936,0.7948,1.0224,1.0656,0.9072,1.208,0.9992,1.0456,0.9288,0.8784,1.0096,1.126,0.5284,0.5932,1.712,1.5696,0.8584,0.9908,1.2772,0.5228,0.9764,0.9964,0.9748,1.1232,0.9548,0.988,1.0124,1.1348,0.8684,0.8452,0.7316,0.6292
0.8308,0.7072,0.8568,0.7848,0.7792,0.9664,1.0252,0.9404,1.0196,0.9448,0.9576,0.6696,0.5156,0.7516,1.0268,0.926,0.9764,1.0728,1.0124,0.8856,0.854,1.0064,0.9836,0.926,1.24,1.0036,1.0728,0.8856,0.8496,0.946,1.26,0.6752,0.694,1.7768,1.5308,0.8984,1.018,1.2844,0.5544,0.9836,0.9476,0.9188,1.024,0.9332,0.9676,1.1476,1.2052,0.9576,0.8884,0.8092,0.6452
0.8396,0.7216,0.8252,0.7948,0.8008,1.0036,1.0008,0.9144,0.9736,0.998,1.0168,0.6208,0.5704,0.91,1.0568,0.9244,1.044,1.0064,0.9864,0.8552,0.8136,1.008,1.0656,0.884,1.2616,1.054,1.0844,0.9172,0.8812,0.9316,1.1548,0.6508,0.5976,1.744,1.5508,0.8496,0.9764,1.2528,0.5328,0.952,0.9488,0.9056,0.9592,0.9316,0.92,1.0684,1.2644,0.9604,0.9736,0.776,0.6568
0.9304,0.7848,0.848,0.8912,0.9808,0.9676,0.9808,0.9044,0.9892,0.9776,0.9604,0.6352,0.5776,0.8296,0.9648,0.9432,1.0096,1.008,0.9404,0.8252,0.766,0.9992,1.0784,0.8612,1.24,0.9592,1.0728,0.8872,0.946,0.8684,1.0756,0.5644,0.5384,1.8216,1.6084,0.8048,0.9304,1.2328,0.5776,0.9376,0.9736,0.926,1.0656,0.9748,0.9288,1.0568,1.168,0.956,0.9056,0.7748,0.5688
0.772,0.7,0.828,0.8984,0.8612,0.9448,0.9748,0.946,1.0468,1.1188,1.06,0.72,0.6508,0.7876,1.116,0.9216,0.9848,1.0096,0.926,0.8668,0.8092,0.998,1.0784,0.9288,1.2184,0.9632,1.0712,0.92,1.0628,1.09,1.0844,0.556,0.5024,1.8488,1.6256,0.7948,0.9576,1.25,0.576,0.9604,0.9304,0.8956,1.1116,1.028,0.9592,0.952,1.188,0.8828,0.89,0.7012,0.5356
0.9676,0.8768,0.9592,0.988,0.992,1.1536,1.1392,1.142,1.1852,1.2212,1.2744,0.9244,0.91,0.9188,1.3852,1.188,1.1072,1.1332,1.008,1.0168,0.9848,1.0888,1.1592,1.0684,1.3636,1.1792,1.1492,1.0712,1.0352,1.1536,1.2124,0.7272,0.6724,1.8088,1.6948,0.8064,0.9704,1.24,0.5184,0.9704,0.9476,0.88,1.116,1.0224,1.0484,0.952,1.054,0.8972,0.7648,0.6292,0.4868
0.8972,0.71,0.8396,0.7832,0.7804,0.9632,0.992,0.9056,1.0096,0.9388,0.9676,0.5832,0.6308,0.7272,1.0712,1.1792,0.9488,0.9448,0.8668,0.8552,0.7876,1.0096,0.9836,0.8684,1.1276,0.9704,0.9476,0.8728,0.9836,1.06,1.152,0.6724,0.6608,1.7856,1.6128,0.8452,0.9936,1.244,0.5312,1.0352,0.962,0.9304,1.0496,0.92,1.0424,0.9488,1.0728,0.8336,0.8008,0.6812,0.4724
0.8696,0.8336,0.9044,0.8684,0.8696,1.034,1.0324,0.946,1.0384,1.0296,1.0152,0.7028,0.6508,0.808,1.1404,1.0672,1.0612,0.9808,0.9632,0.9316,0.844,1.1708,1.1304,0.9116,1.2312,1.0828,1.0628,1.0108,0.8944,1.0136,1.1332,0.6264,0.5888,1.7296,1.5408,0.8224,0.9344,1.2196,0.5272,0.9504,0.9964,0.9304,0.9488,0.8512,1.0396,0.952,1.0412,0.9,0.7676,0.6884,0.4392
0.8496,0.8308,0.8552,0.884,0.9044,1.0872,1.0096,0.9648,1.0352,0.9936,0.992,0.72,0.664,0.802,1.1088,1.1104,1.1116,0.972,0.9632,0.8984,0.8596,0.9848,1.1824,0.972,1.2368,1.0268,1.1044,0.9344,0.9016,1.0036,1.0972,0.592,0.5704,1.784,1.6892,0.8252,0.916,1.2428,0.4924,0.9288,1.0168,1.0052,0.9664,0.8552,1.034,1.008,1.1016,0.848,0.8136,0.6696,0.5704
0.8308,0.766,0.8396,0.8208,0.89,1.2024,0.9604,0.9692,1.034,1.034,0.9664,0.658,0.6436,0.8264,1.0584,1.06,1.1276,1.204,1.168,0.8768,0.8984,1.0756,1.1,1.0296,1.2212,1.0096,1.0872,0.9344,0.9056,0.982,1.1276,0.5888,0.5832,1.7668,1.584,0.818,0.9116,1.1592,0.5024,0.9848,0.9892,0.9432,0.9632,0.8584,1.0324,0.9704,1.0556,0.8612,0.756,0.6336,0.4912
