0.9892,1.3408,1.3508,1.0584,0.9908,0.874,1.4024,1.5824,1.1276,1.2512,0.9288,0.88,0.89,1.0296,1.0108,0.7792,0.7416,0.7776,0.9128,0.7704,1.064,0.8884,0.9792,1.27,1.028,1.028,1.106,1.2788,1.0784,0.8424,1.1032,0.9792,0.9028,1.2816,1.0528,0.5572,0.8524,0.828,1.4024,1.2772,0.8856,1.1392,0.9056,0.7964,1.1808,1.234,1.0628,0.6452,1.1348,1.1968,1.1792,1.0324,0.792,1.1648,1.1232,1.1536,0.632,0.766,0.9144,0.56
0.9288,1.388,1.2944,1.0384,0.946,0.9188,1.4272,1.512,1.1216,1.2484,0.8252,0.8152,0.92,0.9676,0.9664,0.7964,0.7676,0.766,0.7848,0.7676,1.0208,0.8624,0.9836,1.1936,1.0196,1.0988,1.1216,1.2872,1.1088,0.8108,1.1376,0.946,0.9344,1.3624,1.0424,0.6768,0.7604,0.7832,1.42,1.1564,0.8656,1.0656,0.8984,0.7544,1.1104,1.3232,1.1348,0.7748,1.1692,1.3292,1.3724,1.2052,0.8972,1.2112,1.2112,1.1592,0.6668,0.854,0.9504,0.5948
0.9232,1.3232,1.306,1.0484,0.9504,0.8928,1.3852,1.476,1.1144,1.224,0.8728,0.8696,0.9848,0.9476,0.9952,0.8224,0.7832,0.9288,0.8584,0.7012,1.0124,0.8712,1.0024,1.1216,0.956,1.1852,1.0872,1.2196,1.028,0.8192,1.0856,0.88,0.8524,1.312,1.0352,0.6192,0.7948,0.7128,1.424,1.0988,0.874,1.044,0.8524,0.7416,1.1492,1.3624,1.1104,0.6784,1.1,1.2528,1.3608,1.07,0.884,1.1968,1.1952,1.1448,0.674,0.9416,0.9964,0.6264
1.1764,1.3148,1.2816,1.0512,0.8928,0.792,1.3912,1.4732,1.0844,1.2196,0.884,0.8956,0.9416,0.9476,0.9864,0.9316,0.8352,0.8524,0.9404,0.7344,0.992,0.8308,0.9736,1.0512,0.9792,1.0528,1.1232,1.2456,1.0268,0.854,1.1492,0.8956,0.8524,1.2744,1.0568,0.5704,0.8252,0.7228,1.4588,1.2024,0.8984,1.1504,0.9072,0.7604,1.1448,1.2412,1.0728,0.6536,1.09,1.198,1.3176,1.0568,0.8036,1.2512,1.1752,1.1348,0.6408,0.92,0.9764,0.5688
1.116,1.5192,1.4876,1.234,0.9548,0.8192,1.4056,1.5264,1.1908,1.2368,0.8452,0.91,1.0008,0.9592,1.0312,1.0224,0.8136,0.7992,0.8728,0.8496,1.1216,0.8496,0.9,1.0196,0.9376,1.0528,1.1592,1.2584,1.0496,0.88,1.136,0.972,0.946,1.2916,1.1044,0.5816,0.6928,0.7444,1.3824,1.2224,1.0108,1.2184,0.8784,0.7676,1.1548,1.0972,0.9232,0.5012,0.946,1.0972,1.224,0.9088,0.7084,1.1576,1.116,1.08,0.6148,0.8452,0.9604,0.514
1.178,1.6372,1.6288,1.2284,1.0496,0.988,1.5032,1.6704,1.3348,1.404,1.0268,1.064,1.1044,1.352,1.1376,1.1504,0.8984,0.9488,0.9808,1.1072,1.3708,1.0628,1.0412,1.25,1.0856,1.198,1.2728,1.4312,1.286,0.9848,1.26,1.0816,1.0656,1.42,1.2528,0.6724,0.7056,0.6912,1.3652,1.2212,0.9864,1.0784,0.828,0.7992,1.0684,1.0252,0.9808,0.56,1.024,1.1032,1.1924,0.9476,0.6652,1.116,1.0484,1.096,0.5256,0.7388,0.8208,0.4592
0.9676,1.3996,1.456,0.9848,0.89,0.8668,1.3696,1.4024,1.188,1.2384,0.7948,0.8812,0.916,1.0496,1.0424,0.7964,0.736,0.782,0.7892,0.8264,1.018,1.0368,1.0208,1.24,1.0528,1.0296,1.0556,1.3436,1.0656,0.8296,1.1216,0.864,0.8656,1.2904,1.1664,0.632,0.72,0.684,1.4776,1.2356,0.9072,1.0756,0.9,0.8048,1.0712,1.116,1.0036,0.576,0.962,1.0784,1.2068,0.9028,0.6784,1.0916,1.0772,1.0224,0.5112,0.7444,0.7992,0.4808
1.0628,1.4848,1.4616,1.116,0.9304,0.9288,1.4096,1.4776,1.2412,1.3808,0.9764,0.8884,1.0136,1.0312,1.2008,0.9044,0.8224,0.8624,0.9016,0.838,1.0628,0.9144,1.0828,1.2412,1.1464,1.0972,1.0988,1.24,1.0784,0.8856,1.3004,0.9028,0.9548,1.3636,1.1176,0.6004,0.6884,0.6596,1.3896,1.2112,0.8324,1.0296,0.8872,0.808,1.0816,1.0712,1.028,0.4952,0.9476,1.028,1.1896,0.992,0.736,1.1032,1.0844,0.9892,0.54,0.7112,0.8296,0.4508
1.0268,1.456,1.3752,1.0152,0.9576,0.8856,1.3624,1.5064,1.2112,1.2628,0.952,0.9072,0.982,0.9992,1.1248,1.0036,0.74,0.8164,0.8152,0.8656,1.0712,0.936,1.0252,1.188,1.0756,1.08,1.1392,1.2944,1.0772,0.8656,1.276,0.9476,0.9692,1.3192,1.116,0.5804,0.7156,0.7028,1.3736,1.178,0.8192,0.9992,0.9272,0.7864,1.0728,1.0496,0.9016,0.5112,1.0224,1.0208,1.1908,1.0296,0.7432,1.1032,1.0672,1.0052,0.6264,0.736,0.8324,0.5112
1.0568,1.4228,1.368,1.0584,1.1636,0.8668,1.3724,1.5192,1.1648,1.2212,0.916,0.8784,0.9388,0.9764,1.0584,0.8944,0.8944,0.792,0.844,0.8612,1.09,0.9432,1.018,1.1188,1.0412,1.0484,1.1332,1.2744,1.0816,0.8452,1.2112,0.9548,0.9676,1.2988,1.116,0.5976,0.772,0.7244,1.348,1.1188,0.854,0.9892,0.936,0.7676,1.1088,1.172,0.9748,0.5804,0.9448,1.0888,1.3004,0.9344,0.6896,1.116,1.054,0.9836,0.55,0.7964,0.8684,0.4624
