5.662002,5.211913,6.437051
5.569177,5.053108,6.303664
5.473229,5.035701,6.294882
5.375999,4.884579,6.071853
5.20766,4.726394,5.898346
5.044625,4.554896,5.656662
4.985313,4.493112,5.574256
4.960808,4.537232,5.393042
4.995387,4.604804,5.570161
4.864761,4.574897,5.432889
4.809038,4.450081,5.385996
4.72723,4.195686,5.338227
4.866542,4.272812,5.39436
4.872346,4.164897,5.696883
4.978923,4.31204,5.620441
4.701437,4.136054,5.382745
4.758758,4.238405,5.245487
4.73316,4.254741,5.311283
4.990423,4.553827,5.61766
5.167358,4.710492,5.695157
5.330946,4.947775,5.881593
5.362546,5.00898,5.951647
5.405832,4.935085,6.060737
5.210949,4.853355,5.681155
5.222289,4.873124,5.619603
5.277229,4.88793,5.674383
5.264706,4.927335,5.633348
5.212319,4.956229,5.558207
5.153642,4.877699,5.431755
4.777896,4.438845,5.122888
4.479651,4.14891,4.92968
4.208886,3.91223,4.563207
3.787501,3.38481,4.203481
3.295832,2.95269,3.714726
3.041147,2.664465,3.466681
2.766206,2.420517,3.227994
2.303516,1.808729,2.759234
1.621993,1.24014,2.381251
1.397729,0.965057,3.029106
1.405933,0.806741,2.586105
1.154304,0.64461,2.693742
0.964659,0.570788,1.719737
0.910136,0.490076,1.369535
0.92324,0.362805,1.545492
0.968015,0.527885,1.929759
0.846262,0.365379,1.655212
1.01508,0.488588,2.048177
0.64987,0.317884,1.372137
0.672459,0.338321,1.477651
0.748176,0.368635,1.621988
0.938418,0.470592,2.052894
0.983256,0.464984,2.271866
0.921941,0.474871,1.897513
0.688044,0.327801,1.379124
1.151884,0.592487,2.299968
1.102458,0.552594,2.19333
0.992232,0.497195,1.762795
0.999387,0.425761,1.903826
1.053012,0.527128,1.695636
1.190498,0.558934,2.041327
1.042339,0.466085,1.85032
1.267368,0.567354,2.622476
1.527646,0.669292,3.164821
1.876303,0.660908,4.108574
1.895085,0.775318,4.05667
2.109355,1.048702,3.61716
2.045347,1.104678,4.033441
2.638363,1.757577,3.599065
3.492673,2.368345,4.46586
3.84148,2.742914,4.730531
3.838373,2.943555,4.429078
3.780373,3.297477,4.405541
3.793589,3.311143,4.595819
3.762816,3.277279,4.402564
3.91177,3.384924,4.461695
4.175542,3.633817,4.655867
4.327344,3.841176,4.875664
4.351583,3.924705,4.880241
4.106987,3.677146,4.535733
4.135857,3.704248,4.529582
4.226119,3.797021,4.690652
4.381588,3.994387,4.830651
4.471233,4.016592,5.028523
4.515414,4.157589,4.993163
4.642122,4.210907,4.994862
4.797744,4.395881,5.178368
5.127533,4.659633,5.706377
5.052105,4.541247,5.606888
5.459391,4.945252,6.038113
5.681348,5.244988,6.269685
5.805111,5.31988,6.499359
6.073759,5.54169,6.691934
6.435323,5.908547,6.998506
6.541615,5.885905,7.160661
6.407967,5.859946,7.072769
6.390182,5.658801,7.001787
